,#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Win Ratio,Has 2 Types
20,21,Pidgey,Normal,Flying,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
21,22,Pidgeotto,Normal,Flying,medium_hp,low_attack,medium_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,True
22,23,Pidgeot,Normal,Flying,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
23,24,Mega Pidgeot,Normal,Flying,medium_hp,medium_attack,medium_defense,high_sp_atk,medium_sp_def,high_speed,1,False,medium_win_ratio,False
24,25,Rattata,Normal,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,False
25,26,Raticate,Normal,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,True
26,27,Spearow,Normal,Flying,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,True
27,28,Fearow,Normal,Flying,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
28,29,Ekans,Poison,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,False
29,30,Arbok,Poison,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,False
30,31,Pikachu,Electric,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,False
31,32,Raichu,Electric,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
32,33,Sandshrew,Ground,,low_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,False
33,34,Sandslash,Ground,,medium_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,medium_speed,1,False,medium_win_ratio,False
34,35,Nidoran♀,Poison,,medium_hp,low_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
35,36,Nidorina,Poison,,medium_hp,low_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,False
36,37,Nidoqueen,Poison,Ground,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
37,38,Nidoran♂,Poison,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
38,39,Nidorino,Poison,,medium_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,medium_speed,1,False,low_win_ratio,False
39,40,Nidoking,Poison,Ground,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
40,41,Clefairy,Fairy,,medium_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,False
41,42,Clefable,Fairy,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,high_win_ratio,False
42,43,Vulpix,Fire,,low_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,low_win_ratio,True
43,44,Ninetales,Fire,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,True
44,45,Jigglypuff,Normal,Fairy,high_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,high_win_ratio,True
45,46,Wigglytuff,Normal,Fairy,high_hp,medium_attack,low_defense,medium_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,True
46,47,Zubat,Poison,Flying,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,True
47,48,Golbat,Poison,Flying,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,True
48,49,Oddish,Grass,Poison,low_hp,low_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,True
49,50,Gloom,Grass,Poison,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,True
50,51,Vileplume,Grass,Poison,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,True
51,52,Paras,Bug,Grass,low_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
52,53,Parasect,Bug,Grass,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,False
53,54,Venonat,Bug,Poison,medium_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,high_win_ratio,False
54,55,Venomoth,Bug,Poison,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
55,56,Diglett,Ground,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,False
56,57,Dugtrio,Ground,,low_hp,medium_attack,low_defense,low_sp_atk,medium_sp_def,high_speed,1,False,low_win_ratio,False
57,58,Meowth,Normal,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,False
58,59,Persian,Normal,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,high_speed,1,False,medium_win_ratio,False
59,60,Psyduck,Water,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,high_win_ratio,False
60,61,Golduck,Water,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
61,62,Mankey,Fighting,,low_hp,medium_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,False
62,63,Primeape,Fighting,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,False
63,64,Growlithe,Fire,,medium_hp,medium_attack,low_defense,medium_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
64,65,Arcanine,Fire,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,low_win_ratio,False
65,66,Poliwag,Water,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,medium_win_ratio,False
66,67,Poliwhirl,Water,,medium_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,False
67,68,Poliwrath,Water,Fighting,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,False
68,69,Abra,Psychic,,low_hp,low_attack,low_defense,medium_sp_atk,low_sp_def,medium_speed,1,False,low_win_ratio,False
69,70,Kadabra,Psychic,,low_hp,low_attack,low_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,low_win_ratio,False
70,71,Alakazam,Psychic,,medium_hp,low_attack,low_defense,high_sp_atk,medium_sp_def,high_speed,1,False,medium_win_ratio,False
71,72,Mega Alakazam,Psychic,,medium_hp,low_attack,medium_defense,high_sp_atk,medium_sp_def,high_speed,1,False,low_win_ratio,True
72,73,Machop,Fighting,,medium_hp,medium_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
73,74,Machoke,Fighting,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,True
74,75,Machamp,Fighting,,medium_hp,high_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,high_win_ratio,True
75,76,Bellsprout,Grass,Poison,low_hp,medium_attack,low_defense,medium_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,True
76,77,Weepinbell,Grass,Poison,medium_hp,medium_attack,low_defense,medium_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,True
77,78,Victreebel,Grass,Poison,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,True
78,79,Tentacool,Water,Poison,low_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,False
79,80,Tentacruel,Water,Poison,medium_hp,medium_attack,medium_defense,medium_sp_atk,high_sp_def,medium_speed,1,False,high_win_ratio,False
80,81,Geodude,Rock,Ground,low_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,True
81,82,Graveler,Rock,Ground,medium_hp,medium_attack,high_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,True
82,83,Golem,Rock,Ground,medium_hp,medium_attack,high_defense,low_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,True
83,84,Ponyta,Fire,,low_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,low_win_ratio,True
84,85,Rapidash,Fire,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,True
85,86,Slowpoke,Water,Psychic,medium_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
86,87,Slowbro,Water,Psychic,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,high_win_ratio,True
87,88,Mega Slowbro,Water,Psychic,medium_hp,medium_attack,high_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,False
88,89,Magnemite,Electric,Steel,low_hp,low_attack,medium_defense,medium_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
89,90,Magneton,Electric,Steel,low_hp,low_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,low_win_ratio,False
90,91,Farfetch'd,Normal,Flying,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,False
91,92,Doduo,Normal,Flying,low_hp,medium_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,low_win_ratio,False
92,93,Dodrio,Normal,Flying,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,True
93,94,Seel,Water,,medium_hp,low_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,True
94,95,Dewgong,Water,Ice,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
95,96,Grimer,Poison,,medium_hp,medium_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,high_win_ratio,True
96,97,Muk,Poison,,high_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,high_win_ratio,True
97,98,Shellder,Water,,low_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
98,99,Cloyster,Water,Ice,low_hp,medium_attack,high_defense,medium_sp_atk,low_sp_def,medium_speed,1,False,low_win_ratio,False
99,100,Gastly,Ghost,Poison,low_hp,low_attack,low_defense,medium_sp_atk,low_sp_def,medium_speed,1,False,medium_win_ratio,False
100,101,Haunter,Ghost,Poison,low_hp,low_attack,low_defense,medium_sp_atk,low_sp_def,medium_speed,1,False,low_win_ratio,False
101,102,Gengar,Ghost,Poison,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
102,103,Mega Gengar,Ghost,Poison,medium_hp,medium_attack,medium_defense,high_sp_atk,medium_sp_def,high_speed,1,False,medium_win_ratio,False
103,104,Onix,Rock,Ground,low_hp,low_attack,high_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,False
104,105,Drowzee,Psychic,,medium_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,True
105,106,Hypno,Psychic,,medium_hp,medium_attack,medium_defense,medium_sp_atk,high_sp_def,medium_speed,1,False,medium_win_ratio,True
106,107,Krabby,Water,,low_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,False
107,108,Kingler,Water,,medium_hp,high_attack,high_defense,low_sp_atk,low_sp_def,medium_speed,1,False,low_win_ratio,False
108,109,Voltorb,Electric,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,1,False,medium_win_ratio,False
109,110,Electrode,Electric,,medium_hp,low_attack,medium_defense,medium_sp_atk,medium_sp_def,high_speed,1,False,medium_win_ratio,False
110,111,Exeggcute,Grass,Psychic,medium_hp,low_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,False
111,112,Exeggutor,Grass,Psychic,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,False
112,113,Cubone,Ground,,low_hp,low_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,False
113,114,Marowak,Ground,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,True
114,115,Hitmonlee,Fighting,,low_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,True
115,116,Hitmonchan,Fighting,,low_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,low_win_ratio,False
116,117,Lickitung,Normal,,medium_hp,low_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,False
117,118,Koffing,Poison,,low_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,high_win_ratio,False
118,119,Weezing,Poison,,medium_hp,medium_attack,high_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,high_win_ratio,False
119,120,Rhyhorn,Ground,Rock,medium_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,False
120,121,Rhydon,Ground,Rock,high_hp,high_attack,high_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,False
121,122,Chansey,Normal,,high_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,False
122,123,Tangela,Grass,,medium_hp,low_attack,high_defense,medium_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,False
123,124,Kangaskhan,Normal,,high_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
124,125,Mega Kangaskhan,Normal,,high_hp,high_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
125,126,Horsea,Water,,low_hp,low_attack,medium_defense,medium_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
126,127,Seadra,Water,,medium_hp,medium_attack,medium_defense,medium_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,True
127,128,Goldeen,Water,,low_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,True
128,129,Seaking,Water,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,False
129,130,Staryu,Water,,low_hp,low_attack,medium_defense,medium_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,False
130,131,Starmie,Water,Psychic,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,high_speed,1,False,medium_win_ratio,False
131,132,Mr. Mime,Psychic,Fairy,low_hp,low_attack,medium_defense,medium_sp_atk,high_sp_def,medium_speed,1,False,high_win_ratio,True
132,133,Scyther,Bug,Flying,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,False
133,134,Jynx,Ice,Psychic,medium_hp,low_attack,low_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,low_win_ratio,False
134,135,Electabuzz,Electric,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,True
135,136,Magmar,Fire,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
136,137,Pinsir,Bug,,medium_hp,high_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,True
137,138,Mega Pinsir,Bug,Flying,medium_hp,high_attack,high_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
138,139,Tauros,Normal,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
139,140,Magikarp,Water,,low_hp,low_attack,medium_defense,low_sp_atk,low_sp_def,medium_speed,1,False,high_win_ratio,False
140,141,Gyarados,Water,Flying,medium_hp,high_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
141,142,Mega Gyarados,Water,Dark,medium_hp,high_attack,medium_defense,medium_sp_atk,high_sp_def,medium_speed,1,False,low_win_ratio,False
142,143,Lapras,Water,Ice,high_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,low_win_ratio,True
143,144,Ditto,Normal,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,medium_win_ratio,True
144,145,Eevee,Normal,,medium_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,True
145,146,Vaporeon,Water,,high_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
146,147,Jolteon,Electric,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,high_speed,1,False,high_win_ratio,True
147,148,Flareon,Fire,,medium_hp,high_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,True
148,149,Porygon,Normal,,medium_hp,low_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,medium_win_ratio,False
149,150,Omanyte,Rock,Water,low_hp,low_attack,medium_defense,medium_sp_atk,low_sp_def,low_speed,1,False,high_win_ratio,True
150,151,Omastar,Rock,Water,medium_hp,low_attack,high_defense,medium_sp_atk,medium_sp_def,low_speed,1,False,high_win_ratio,True
151,152,Kabuto,Rock,Water,low_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,1,False,high_win_ratio,True
152,153,Kabutops,Rock,Water,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
153,154,Aerodactyl,Rock,Flying,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,high_speed,1,False,medium_win_ratio,False
154,155,Mega Aerodactyl,Rock,Flying,medium_hp,high_attack,medium_defense,medium_sp_atk,medium_sp_def,high_speed,1,False,medium_win_ratio,True
155,156,Snorlax,Normal,,high_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,1,False,high_win_ratio,False
156,157,Articuno,Ice,Flying,medium_hp,medium_attack,medium_defense,medium_sp_atk,high_sp_def,medium_speed,1,True,high_win_ratio,True
157,158,Zapdos,Electric,Flying,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,True,high_win_ratio,False
158,159,Moltres,Fire,Flying,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,True,high_win_ratio,False
159,160,Dratini,Dragon,,low_hp,medium_attack,low_defense,low_sp_atk,low_sp_def,low_speed,1,False,low_win_ratio,False
160,161,Dragonair,Dragon,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,medium_win_ratio,False
161,162,Dragonite,Dragon,Flying,medium_hp,high_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,high_win_ratio,False
162,163,Mewtwo,Psychic,,high_hp,medium_attack,medium_defense,high_sp_atk,medium_sp_def,high_speed,1,True,medium_win_ratio,False
163,164,Mega Mewtwo X,Psychic,Fighting,high_hp,high_attack,medium_defense,high_sp_atk,medium_sp_def,high_speed,1,True,medium_win_ratio,False
164,165,Mega Mewtwo Y,Psychic,,high_hp,high_attack,medium_defense,high_sp_atk,high_sp_def,high_speed,1,True,high_win_ratio,False
165,166,Mew,Psychic,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,1,False,low_win_ratio,False
166,167,Chikorita,Grass,,low_hp,low_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,2,False,medium_win_ratio,False
167,168,Bayleef,Grass,,medium_hp,low_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,2,False,medium_win_ratio,False
168,169,Meganium,Grass,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,2,False,low_win_ratio,False
169,170,Cyndaquil,Fire,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,medium_speed,2,False,high_win_ratio,False
170,171,Quilava,Fire,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,2,False,low_win_ratio,True
171,172,Typhlosion,Fire,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,2,False,medium_win_ratio,True
172,173,Totodile,Water,,low_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,low_speed,2,False,low_win_ratio,True
173,174,Croconaw,Water,,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,2,False,medium_win_ratio,True
174,175,Feraligatr,Water,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,2,False,low_win_ratio,True
175,176,Sentret,Normal,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,2,False,high_win_ratio,True
176,177,Furret,Normal,,medium_hp,medium_attack,medium_defense,low_sp_atk,low_sp_def,medium_speed,2,False,medium_win_ratio,True
177,178,Hoothoot,Normal,Flying,medium_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,low_speed,2,False,medium_win_ratio,True
178,179,Noctowl,Normal,Flying,medium_hp,low_attack,low_defense,medium_sp_atk,medium_sp_def,medium_speed,2,False,medium_win_ratio,False
179,180,Ledyba,Bug,Flying,low_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,low_speed,2,False,low_win_ratio,False
180,181,Ledian,Bug,Flying,medium_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,medium_speed,2,False,low_win_ratio,True
181,182,Spinarak,Bug,Poison,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,2,False,low_win_ratio,False
182,183,Ariados,Bug,Poison,medium_hp,medium_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,2,False,low_win_ratio,True
183,184,Crobat,Poison,Flying,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,high_speed,2,False,medium_win_ratio,True
184,185,Chinchou,Water,Electric,medium_hp,low_attack,low_defense,low_sp_atk,medium_sp_def,medium_speed,2,False,high_win_ratio,True
185,186,Lanturn,Water,Electric,high_hp,low_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,2,False,low_win_ratio,False
186,187,Pichu,Electric,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,2,False,low_win_ratio,False
187,188,Cleffa,Fairy,,low_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,2,False,medium_win_ratio,False
188,189,Igglybuff,Normal,Fairy,medium_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,2,False,low_win_ratio,True
189,190,Togepi,Fairy,,low_hp,low_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,2,False,low_win_ratio,False
190,191,Togetic,Fairy,Flying,medium_hp,low_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,2,False,low_win_ratio,True
191,192,Natu,Psychic,Flying,low_hp,low_attack,low_defense,medium_sp_atk,low_sp_def,medium_speed,2,False,medium_win_ratio,True
192,193,Xatu,Psychic,Flying,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,medium_speed,2,False,low_win_ratio,False
193,194,Mareep,Electric,,medium_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,2,False,medium_win_ratio,False
194,195,Flaaffy,Electric,,medium_hp,low_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,2,False,medium_win_ratio,True
195,196,Ampharos,Electric,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,2,False,medium_win_ratio,True
196,197,Mega Ampharos,Electric,Dragon,medium_hp,medium_attack,medium_defense,high_sp_atk,medium_sp_def,low_speed,2,False,high_win_ratio,True
197,198,Bellossom,Grass,,medium_hp,medium_attack,medium_defense,medium_sp_atk,medium_sp_def,low_speed,2,False,high_win_ratio,False
198,199,Marill,Water,Fairy,medium_hp,low_attack,low_defense,low_sp_atk,low_sp_def,low_speed,2,False,low_win_ratio,False
199,200,Azumarill,Water,Fairy,medium_hp,low_attack,medium_defense,low_sp_atk,medium_sp_def,low_speed,2,False,low_win_ratio,False
